"Index","Description"
822,"Right CerebrumOccipital LobePrecuneusWhite Matter"
823,"Left CerebrumOccipital LobePrecuneusGray MatterBrodmann area 31"
824,"Right CerebrumOccipital LobePrecuneusGray MatterBrodmann area 31"
825,"Left CerebrumOccipital LobePrecuneus"
826,"Left CerebrumOccipital LobePrecuneusGray MatterBrodmann area 18"
827,"Right CerebrumOccipital LobePrecuneusGray MatterBrodmann area 18"
828,"Right CerebrumOccipital LobePrecuneus"
829,"Left CerebrumOccipital LobePrecuneusGray MatterBrodmann area 23"
830,"Right CerebrumOccipital LobePrecuneusGray MatterBrodmann area 23"
831,"Left CerebrumSub-lobarPosterior CingulateWhite Matter"
832,"Right CerebrumSub-lobarPosterior CingulateWhite Matter"
833,"Left CerebrumFrontal LobePostcentral GyrusWhite Matter"
834,"Right CerebrumFrontal LobePostcentral GyrusWhite Matter"
835,"Left CerebrumFrontal LobePostcentral GyrusGray MatterBrodmann area 4"
836,"Right CerebrumFrontal LobePostcentral GyrusGray MatterBrodmann area 4"
837,"Precentral Gyrus"
838,"Left CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 33"
839,"Right CerebrumLimbic LobeAnterior CingulateGray MatterBrodmann area 33"
840,"Inter-HemisphericAnterior Cingulate"
841,"Left CerebrumFrontal LobeAnterior CingulateGray MatterBrodmann area 9"
842,"Cuneus"
843,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 19"
844,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 19"
845,"Superior Occipital Gyrus"
846,"Left CerebrumOccipital LobeSuperior Occipital Gyrus"
847,"Right CerebrumOccipital LobeSuperior Occipital Gyrus"
848,"Left CerebrumOccipital LobeSuperior Occipital GyrusGray MatterBrodmann area 19"
849,"Right CerebrumOccipital LobeSuperior Occipital GyrusGray MatterBrodmann area 19"
850,"Left CerebrumOccipital LobeSuperior Occipital GyrusWhite Matter"
851,"Right CerebrumOccipital LobeSuperior Occipital GyrusWhite Matter"
852,"Left CerebrumTemporal LobeSuperior Occipital Gyrus"
853,"Right CerebrumTemporal LobeSuperior Occipital Gyrus"
854,"Left CerebrumTemporal LobeCuneusWhite Matter"
855,"Right CerebrumTemporal LobeCuneusWhite Matter"
856,"Left CerebrumParietal LobePrecuneusGray MatterBrodmann area 31"
857,"Left CerebrumParietal LobePrecuneusGray MatterBrodmann area 18"
858,"Right CerebrumParietal LobePrecuneusGray MatterBrodmann area 18"
859,"Right CerebrumParietal LobePrecuneusGray MatterBrodmann area 31"
860,"Left CerebrumParietal LobePrecuneusWhite Matter"
861,"Left CerebrumParietal LobePrecuneus"
862,"Right CerebrumParietal LobePrecuneus"
863,"Right CerebrumTemporal LobePrecuneusGray MatterBrodmann area 31"
864,"Right CerebrumParietal LobePrecuneusWhite Matter"
865,"Frontal LobeMiddle Temporal GyrusGray MatterBrodmann area 39"
866,"Right CerebrumTemporal LobePrecuneusWhite Matter"
867,"Left CerebrumTemporal LobePrecuneusWhite Matter"
868,"Left CerebrumTemporal LobeSupramarginal Gyrus"
869,"Left CerebrumTemporal LobeSupramarginal GyrusGray MatterBrodmann area 40"
870,"Left CerebrumTemporal LobeSupramarginal GyrusWhite Matter"
871,"Right CerebrumTemporal LobeSupramarginal GyrusWhite Matter"
872,"Right CerebrumTemporal LobeSupramarginal GyrusGray MatterBrodmann area 40"
873,"Right CerebrumTemporal LobeSupramarginal Gyrus"
874,"Left CerebrumTemporal LobeInferior Parietal LobuleWhite Matter"
875,"Right CerebrumParietal LobeExtra-NuclearWhite Matter"
876,"Right CerebrumTemporal LobeInferior Parietal LobuleWhite Matter"
877,"Left CerebrumTemporal LobeInferior Parietal LobuleGray MatterBrodmann area 40"
878,"Left CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 40"
879,"Left CerebrumParietal LobeInferior Parietal LobuleWhite Matter"
880,"Right CerebrumParietal LobeInferior Parietal LobuleWhite Matter"
881,"Right CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 40"
882,"Left CerebrumParietal LobeSupramarginal Gyrus"
883,"Right CerebrumParietal LobeSupramarginal Gyrus"
884,"Left CerebrumTemporal LobeInferior Parietal Lobule"
885,"Right CerebrumTemporal LobeInferior Parietal LobuleGray MatterBrodmann area 40"
886,"Right CerebrumTemporal LobeInferior Parietal Lobule"
887,"Left CerebrumParietal LobeInferior Parietal Lobule"
888,"Inter-HemisphericLimbic Lobe"
889,"Right CerebrumParietal LobeInferior Parietal Lobule"
890,"Left CerebrumLimbic LobeWhite Matter"
891,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 2"
892,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 2"
893,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 1"
894,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 1"
895,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 3"
896,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 3"
897,"Left CerebrumFrontal LobePostcentral GyrusGray MatterBrodmann area 3"
898,"Right CerebrumFrontal LobePostcentral GyrusGray MatterBrodmann area 3"
899,"Left CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 9"
900,"Right CerebrumFrontal LobeInferior Frontal GyrusGray MatterBrodmann area 9"
901,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 9"
902,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 9"
903,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 9"
904,"Inter-HemisphericSuperior Frontal Gyrus"
905,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 31"
906,"Left CerebrumTemporal LobeSuperior Occipital GyrusGray MatterBrodmann area 39"
907,"Right CerebrumTemporal LobeSuperior Occipital GyrusGray MatterBrodmann area 39"
908,"Left CerebrumOccipital LobeSuperior Occipital GyrusGray MatterBrodmann area 39"
909,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 31"
910,"Right CerebrumOccipital LobeSuperior Occipital GyrusGray MatterBrodmann area 39"
911,"Left CerebrumLimbic LobePrecuneus"
912,"Left CerebrumLimbic LobeCingulate Gyrus"
913,"Right CerebrumLimbic LobeCingulate Gyrus"
914,"Right CerebrumLimbic LobePrecuneus"
915,"Left CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 31"
916,"Right CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 31"
917,"Left CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 39"
918,"Right CerebrumTemporal LobeSub-GyralGray MatterBrodmann area 39"
919,"Left CerebrumLimbic LobePrecuneusWhite Matter"
920,"Left CerebrumLimbic LobePrecuneusGray MatterBrodmann area 31"
921,"Left CerebrumLimbic LobeCingulate GyrusWhite Matter"
922,"Right CerebrumLimbic LobeCingulate GyrusWhite Matter"
923,"Right CerebrumLimbic LobePrecuneusGray MatterBrodmann area 31"
924,"Right CerebrumLimbic LobePrecuneusWhite Matter"
925,"Left CerebrumOccipital LobeSuperior Temporal Gyrus"
926,"Right CerebrumOccipital LobeSuperior Temporal Gyrus"
927,"Left CerebrumParietal LobeSupramarginal GyrusGray MatterBrodmann area 40"
928,"Right CerebrumParietal LobeSupramarginal GyrusGray MatterBrodmann area 40"
929,"Left CerebrumParietal LobeSupramarginal GyrusWhite Matter"
930,"Right CerebrumParietal LobeSupramarginal GyrusWhite Matter"
931,"Supramarginal Gyrus"
932,"Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 31"
933,"Inferior Parietal Lobule"
934,"Left CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 23"
935,"Right CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 23"
936,"Left CerebrumFrontal LobeInferior Parietal LobuleWhite Matter"
937,"Right CerebrumFrontal LobeInferior Parietal LobuleWhite Matter"
938,"Left CerebrumParietal LobePrecentral GyrusGray MatterBrodmann area 3"
939,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 3"
940,"Right CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 3"
941,"Left CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 24"
942,"Right CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 24"
943,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 9"
944,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 9"
945,"Left CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 32"
946,"Right CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 32"
947,"Left CerebrumLimbic LobeMedial Frontal GyrusGray MatterBrodmann area 32"
948,"Right CerebrumLimbic LobeMedial Frontal GyrusGray MatterBrodmann area 32"
949,"Left CerebrumLimbic LobeMedial Frontal Gyrus"
950,"Right CerebrumLimbic LobeMedial Frontal Gyrus"
951,"Right CerebrumCuneus"
952,"Left CerebrumOccipital LobeCuneusGray MatterBrodmann area 7"
953,"Right CerebrumOccipital LobeCuneusGray MatterBrodmann area 7"
954,"Angular Gyrus"
955,"Left CerebrumOccipital LobeAngular Gyrus"
956,"Right CerebrumOccipital LobeAngular Gyrus"
957,"Left CerebrumTemporal LobeAngular Gyrus"
958,"Left CerebrumTemporal LobeAngular GyrusGray MatterBrodmann area 39"
959,"Right CerebrumTemporal LobeAngular GyrusGray MatterBrodmann area 39"
960,"Right CerebrumTemporal LobeAngular Gyrus"
961,"Left CerebrumTemporal LobeAngular GyrusWhite Matter"
962,"Right CerebrumTemporal LobeAngular GyrusWhite Matter"
963,"Left CerebrumParietal LobeCuneusWhite Matter"
964,"Right CerebrumParietal LobeCuneusWhite Matter"
965,"Left CerebrumParietal LobeAngular GyrusWhite Matter"
966,"Right CerebrumParietal LobeAngular GyrusWhite Matter"
967,"Left CerebrumParietal LobeAngular GyrusGray MatterBrodmann area 39"
968,"Left CerebrumParietal LobePrecuneusGray MatterBrodmann area 7"
969,"Right CerebrumOccipital LobePrecuneusGray MatterBrodmann area 7"
970,"Right CerebrumParietal LobeAngular GyrusGray MatterBrodmann area 39"
971,"Left CerebrumOccipital LobePrecuneusGray MatterBrodmann area 7"
972,"Right CerebrumParietal LobePrecuneusGray MatterBrodmann area 7"
973,"Parietal Lobe"
974,"Left CerebrumParietal LobeSupramarginal GyrusGray MatterBrodmann area 39"
975,"Right CerebrumParietal LobeSupramarginal GyrusGray MatterBrodmann area 39"
976,"Right CerebrumPrecuneus"
977,"Right CerebrumParietal Lobe"
978,"Left CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 2"
979,"Left CerebrumFrontal LobePostcentral Gyrus"
980,"Right CerebrumFrontal LobePostcentral Gyrus"
981,"Left CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 9"
982,"Right CerebrumLimbic LobeCingulate GyrusGray MatterBrodmann area 9"
983,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 9"
984,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 9"
985,"Left CerebrumParietal LobeCuneus"
986,"Left CerebrumParietal LobePrecuneusGray MatterBrodmann area 19"
987,"Right CerebrumParietal LobePrecuneusGray MatterBrodmann area 19"
988,"Inter-HemisphericPrecuneus"
989,"Right CerebrumParietal LobePrecuneusGray MatterBrodmann area 39"
990,"Left CerebrumParietal LobePrecuneusGray MatterBrodmann area 39"
991,"Right CerebrumParietal LobeSub-GyralGray MatterBrodmann area 39"
992,"Left CerebrumParietal LobeAngular GyrusGray MatterBrodmann area 40"
993,"Right CerebrumParietal LobeAngular GyrusGray MatterBrodmann area 40"
994,"Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 31"
995,"Left CerebrumParietal LobeCingulate GyrusGray MatterBrodmann area 31"
996,"Left CerebrumParietal LobeCingulate Gyrus"
997,"Right CerebrumParietal LobeCingulate Gyrus"
998,"Right CerebrumParietal LobeCingulate GyrusGray MatterBrodmann area 31"
999,"Left CerebrumParietal LobeSub-GyralGray MatterBrodmann area 40"
1000,"Right CerebrumParietal LobeSub-GyralGray MatterBrodmann area 40"
1001,"Left CerebrumFrontal LobeCingulate GyrusWhite Matter"
1002,"Right CerebrumFrontal LobeCingulate GyrusWhite Matter"
1003,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 4"
1004,"Left CerebrumFrontal LobePrecentral GyrusGray MatterBrodmann area 9"
1005,"Left CerebrumFrontal LobeCingulate Gyrus"
1006,"Left CerebrumFrontal LobeCingulate GyrusGray MatterBrodmann area 32"
1007,"Right CerebrumFrontal LobeCingulate Gyrus"
1008,"Right CerebrumFrontal LobeCingulate GyrusGray MatterBrodmann area 32"
1009,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 6"
1010,"Left CerebrumFrontal LobeCingulate GyrusGray MatterBrodmann area 6"
1011,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 6"
1012,"Right CerebrumFrontal LobeCingulate GyrusGray MatterBrodmann area 6"
1013,"Precuneus"
1014,"Left CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 39"
1015,"Right CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 39"
1016,"Left CerebrumFrontal LobePrecuneusGray MatterBrodmann area 31"
1017,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 31"
1018,"Left CerebrumParietal LobeSub-GyralGray MatterBrodmann area 2"
1019,"Right CerebrumParietal LobePrecentral GyrusGray MatterBrodmann area 3"
1020,"Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 24"
1021,"Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 24"
1022,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 6"
1023,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 6"
1024,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 6"
1025,"Left CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 8"
1026,"Right CerebrumFrontal LobeMiddle Frontal GyrusGray MatterBrodmann area 8"
1027,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 8"
1028,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 8"
1029,"Left CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 32"
1030,"Right CerebrumLimbic LobeSub-GyralGray MatterBrodmann area 32"
1031,"Left CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 32"
1032,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 32"
1033,"Left CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 8"
1034,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 8"
1035,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 8"
1036,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 8"
1037,"Left CerebrumParietal LobeSuperior Parietal Lobule"
1038,"Right CerebrumParietal LobeSuperior Parietal Lobule"
1039,"Left CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 7"
1040,"Right CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 7"
1041,"Left CerebrumParietal LobeSuperior Parietal LobuleWhite Matter"
1042,"Right CerebrumParietal LobeSuperior Parietal LobuleWhite Matter"
1043,"Left CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 7"
1044,"Right CerebrumParietal LobeInferior Parietal LobuleGray MatterBrodmann area 7"
1045,"Left CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 31"
1046,"Left CerebrumFrontal LobeParacentral Lobule"
1047,"Inter-HemisphericParacentral Lobule"
1048,"Right CerebrumFrontal LobeParacentral Lobule"
1049,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 31"
1050,"Right CerebrumParietal LobeSub-GyralGray MatterBrodmann area 31"
1051,"Left CerebrumFrontal LobeParacentral LobuleWhite Matter"
1052,"Right CerebrumFrontal LobeParacentral LobuleWhite Matter"
1053,"Left CerebrumLimbic LobeParacentral LobuleGray MatterBrodmann area 31"
1054,"Left CerebrumLimbic LobeParacentral LobuleWhite Matter"
1055,"Right CerebrumLimbic LobeParacentral LobuleWhite Matter"
1056,"Left CerebrumLimbic LobeParacentral Lobule"
1057,"Right CerebrumLimbic LobeParacentral Lobule"
1058,"Inter-HemisphericCingulate Gyrus"
1059,"Inter-HemisphericMedial Frontal Gyrus"
1060,"Superior Parietal Lobule"
1061,"Left CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 40"
1062,"Right CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 40"
1063,"Left CerebrumParietal LobeParacentral LobuleWhite Matter"
1064,"Left CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 5"
1065,"Left CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 7"
1066,"Right CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 7"
1067,"Right CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 5"
1068,"Left CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 5"
1069,"Right CerebrumFrontal LobePrecuneus"
1070,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 5"
1071,"Left CerebrumParietal LobeParacentral Lobule"
1072,"Right CerebrumParietal LobeParacentral Lobule"
1073,"Right CerebrumParietal LobeParacentral LobuleWhite Matter"
1074,"Right CerebrumFrontal LobePrecuneusWhite Matter"
1075,"Left CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 6"
1076,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 6"
1077,"Left CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 6"
1078,"Right CerebrumFrontal LobeSuperior Frontal GyrusGray MatterBrodmann area 6"
1079,"Right CerebrumSuperior Parietal Lobule"
1080,"Left CerebrumParietal LobeSub-GyralGray MatterBrodmann area 7"
1081,"Right CerebrumParietal LobeSub-GyralGray MatterBrodmann area 7"
1082,"Right CerebrumFrontal LobeInferior Parietal LobuleGray MatterBrodmann area 40"
1083,"Left CerebrumFrontal LobePrecuneusGray MatterBrodmann area 5"
1084,"Left CerebrumFrontal LobePrecuneusWhite Matter"
1085,"Left CerebrumFrontal LobePrecuneus"
1086,"Right CerebrumFrontal LobePrecuneusGray MatterBrodmann area 5"
1087,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 7"
1088,"Left CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 3"
1089,"Left CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 4"
1090,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 4"
1091,"Right CerebrumFrontal LobeParacentral LobuleGray MatterBrodmann area 3"
1092,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 3"
1093,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 4"
1094,"Right CerebrumFrontal LobeSub-GyralGray MatterBrodmann area 6"
1095,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 5"
1096,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 5"
1097,"Left CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 5"
1098,"Right CerebrumParietal LobeSuperior Parietal LobuleGray MatterBrodmann area 5"
1099,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 4"
1100,"Right CerebrumFrontal LobeMedial Frontal GyrusGray MatterBrodmann area 4"
1101,"Left CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 7"
1102,"Right CerebrumParietal LobePostcentral GyrusGray MatterBrodmann area 7"
1103,"Inter-HemisphericPostcentral Gyrus"
1104,"Left CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 4"
1105,"Right CerebrumParietal LobeParacentral LobuleGray MatterBrodmann area 4"
